abstract,contribution,category
"background : urinary tract infections ( utis ) are one of main health problems caused by many microorganisms , including uropathogenic escherichia coli ( upec ) . 
 upec strains are the most frequent pathogens responsible for 85% and 50% of community and hospital acquired utis , respectively . 
 upec strains have special virulence factors , including type 1 fimbriae , which can result in worsening of utis.objectives:this study was performed to detect type 1 fimbriae ( the fimh gene ) among upec strains by molecular method.materials and methods : a total of 140 isolated e. coli strains from patients with uti were identified using biochemical tests and then evaluated for the fimh gene by polymerase chain reaction ( pcr ) analysis.results:the upec isolates were identified using biochemical tests and were screened by pcr . 
 the fimh gene was amplified using specific primers and showed a band about 164 bp . 
 the fimh gene was found in 130 isolates ( 92.8% ) of the upec strains . 
 of 130 isolates positive for the fimh gene , 62 ( 47.7% ) and 68 ( 52.3% ) belonged to hospitalized patients and outpatients , respectively.conclusions:the results of this study indicated that more than 90% of e. coli isolates harbored the fimh gene . the high binding ability of fimh could result in the increased pathogenicity of e. coli ; thus , fimh could be used as a possible diagnostic marker and/or vaccine candidate .","The paper reports study to detect type 1 fimbriae among upec strains by molecular method, and concludes that more than 90% of e. coli isolates harbored the fimh gene, thus, fimh could be used as a possible diagnostic marker and/or vaccine candidate.",Methodological
" balantidiasis is a rare zoonotic disease in humans . 
 balantidium coli is the causative ciliated protozoan . 
 we present a case of urinary balantidiasis in a patient having chronic obstructive pulmonary disease ( copd ) who was on steroids for a long time . 
 he has no symptoms of bowel or urinary involvement . 
 we are reporting this case because of its rarity in human urine and also for future references . ",The paper presents a case of urinary balantidiasis in a patient having chronic obstructive pulmonary disease who was on steroids for a long time,Case study
"5q - syndrome is a special subgroup of myelodysplastic syndrome in terms of follow - up and treatment . 
 lenalidomide is an immunomodulatory drug that is frequently used in the treatment of multiple myeloma . 
 some clinical studies have shown that lenalidomide treatment is effective in 5q syndrome and significantly decreases the transfusion dependency in these patients . in this paper 
 , we would like to share a dramatic response of lowered transfusion dependency after treatment with low - dose lenalidomide in a patient who received myelodysplastic syndrome diagnosis and isolated 5q anomaly in our clinic .",The paper presents a dramatic response of lowered transfusion dependency after treatement with low-dose lenalidomide in a patient who received myelodysplastic syndrome and isolated 5q anomaly in the author's clinic,Case study
"the hepatitis c virus ( hcv ) encodes approximately 10 different structural and 
 non - structural proteins , including the envelope glycoprotein 2 ( e2 ) . 
 hcv proteins , 
 especially the envelope proteins , bind to cell receptors and can damage tissues . 
 
 endothelial inflammation is the most important determinant of fibrosis progression 
 and , consequently , cirrhosis . 
 the aim of this study was to evaluate and compare the 
 inflammatory response of endothelial cells to two recombinant forms of the hcv e2 
 protein produced in different expression systems ( escherichia coli 
 and pichia pastoris ) . 
 we observed the induction of cell 
 death and the production of nitric oxide , hydrogen peroxide , interleukin-8 and 
 vascular endothelial growth factor a in human umbilical vein endothelial cells 
 ( huvecs ) stimulated by the two recombinant e2 proteins . 
 the e2-induced apoptosis of 
 huvecs was confirmed using the molecular marker parp . 
 the apoptosis rescue observed 
 when the antioxidant n - acetylcysteine was used suggests that 
 reactive oxygen species are involved in e2-induced apoptosis . 
 we propose that these 
 proteins are involved in the chronic inflammation caused by hcv .","The study evaluate and compare the inflammatory response of endothelial cells to two recombinant forms of the hcv e2 protein prduced in diferent expression systems. Induction of cell death and the production of nitric oxide, hydrogen peroxide, interleukin-8 and vascular endothelial grouth factor a in human umbilical vain endothelial cells stimulated by the two recombinant e2 proteins were observed. The paper propose those proteins are incolved in the chronic inflammation caused by hcv.",Analytical
"in the early 1970s , studies in leland hartwell s laboratory at the university of washington launched the genetic analysis of the eukaryotic cell cycle and set the path that has led to our modern understanding of this centrally important process . this 45th - anniversary retrospective reviews the steps by which the project took shape , the atmosphere in which this happened , and the possible morals for modern times . 
 it also provides an up - to - date look at the 35 original cdc genes and their human homologues .",The paper reviews the project of genetic analysis of the eukaryotic cell cycle at the university of washington in the early 1970s.,Review
"recent studies from the gulf region suggest that compared to men , women have a greater risk of developing metabolic syndrome ( mes ) . objective . to investigate gender differences in body composition , adipokines , inflammatory markers , and aerobic fitness in a cohort of healthy qatari adults . 
 participants . 
 healthy qatari ( n = 58 ) were matched for age , gender , and body mass index . 
 methods . body composition and regional fat distribution were determined by dual - energy x - ray absorptiometry and computerized tomography . 
 laboratory assessments included serum levels of fasting glucose , insulin , lipid profile analysis , adipokines , and inflammatory markers . 
 subjects were also evaluated for aerobic fitness . 
 results . 
 women had more adipose tissue in the total abdominal ( p = 0.04 ) and abdominal subcutaneous ( p = 0.07 ) regions compared to men . waist circumference and indices of insulin sensitivity were similar ; however , women had a more favourable lipid profile than men . 
 serum adiponectin and leptin levels were significantly higher in women , whereas inflammatory profiles were not different between men and women . 
 aerobic fitness was lower in women and was associated with abdominal fat accumulation . conclusion . 
 in premenopausal women , higher levels of adiponectin may support maintenance of insulin sensitivity and normolipidemia despite greater adiposity . 
 however , poor aerobic fitness combined with abdominal fat accumulation may explain their greater future risk of mes compared with men .",The paper investigates sex difference in metabolic syndrome risk. The paper suggests poor aerobic fitness combined with abdominal fat accumulation may explain their greater future risk of metabolic syndrome of women compared with men.,Analytical
 ,The paper argues that measuring changes in the esophageal-arterial carbon dioxide gap may be a useful tool for monitaryn the adequacy of resuscitation in trauma victims,Analytical
"a series 
 of -ketooxazoles incorporating electrophiles at 
 the c5 position of the pyridyl ring of 2 ( ol-135 ) and 
 related compounds were prepared and examined as inhibitors of fatty 
 acid amide hydrolase ( faah ) that additionally target the cytosolic 
 port cys269 . from this series , a subset of the candidate inhibitors 
 exhibited time - dependent faah inhibition and noncompetitive irreversible 
 inactivation of the enzyme , consistent with the targeted cys269 covalent 
 alkylation or addition , and maintained or enhanced the intrinsic selectivity 
 for faah versus other serine hydrolases . 
 a preliminary in vivo assessment 
 demonstrates that these inhibitors raise endogenous brain levels of 
 anandamide and other faah substrates upon intraperitoneal ( i.p . ) 
 administration 
 to mice , with peak levels achieved within 1.53 h , and that 
 the elevations of the signaling lipids were maintained > 6 h , indicating 
 that the inhibitors effectively reach and remain active in the brain , 
 inhibiting faah for a sustained period .",The paper demonstrates that a series of -ketooxazoles incorporating electrophi raise endogenous brain les at the c5 position of the pyridyl ring of 2 ( ol-135 ) and related compounds raise endogenous brain levels of anandamide and othe faah substrates upon intrapetritoneal administration,Analytical
"h7n9 influenza is a new emerging infection and has high mortality . 
 both chest radiography and computed tomography ( ct ) had some limitations in assessing such patients . 
 we performed daily lung ultrasound in a patient with h7n9 influenza . 
 lung ultrasound and lung ultrasound score showed high consistency with ct and the progression of pneumonia . 
 ultrasound can be adjutant to chest radiography and ct in caring for patients with h7n9 influenza .",The paper suggests that ultrasound can beg adjutant to chest radiography and ct in carin g for patients with h7n9 influenza,Analytical
" methylmalonic acidemia ( mma ) is most common inherited type of organic acidemia . 
 it has diverse presentation in older infants without any initial apparent symptoms . 
 mma sometimes present with sudden metabolic decompensation , which may mimics common emergencies like septic shock and diabetic ketoacidosis ( dka ) without early recognition can be fatal . in born error of metabolism 
 especially organic acidemia should be suspected in any infant presented with severe high anion gap metabolic acidosis . 
 we report two cases of mma in infants presented acutely mimicking dka and septic shock . ",The paper reports two cases of mathylmalonic academia in in infants presented acutely mimicking dka and septic shock.,Case study
"background . 
 bone engineering requires thicker three - dimensional constructs than the maximum thickness supported by standard cell - culture techniques ( 2  mm ) . 
 a flow - perfusion bioreactor was developed to provide chemotransportation to thick ( 6  mm ) scaffolds . 
 
 methods . 
 polyurethane scaffolds , seeded with murine preosteoblasts , were loaded into a novel bioreactor . 
 control scaffolds remained in static culture . 
 samples were harvested at days 2 , 4 , 6 , and 8 and analyzed for cellular distribution , viability , metabolic activity , and density at the periphery and core . 
 results . by day 8 , static scaffolds had a periphery cell density of 67%  5.0% , while in the core it was 0.3%  0.3% . 
 flow - perfused scaffolds demonstrated peripheral cell density of 94%  8.3% and core density of 76%  3.1% at day 8 . 
 conclusions . 
 flow perfusion provides chemotransportation to thick scaffolds . 
 this system may permit high throughput study of 3d tissues in vitro and enable prefabrication of biological constructs large enough to solve clinical problems .",The paper presents a flow-perfusion bioreactor that provide chemotransportation to thick scaffolds that answers requirements from bone engineering,Methodological
" ganoderma lucidum has a long history of use as a traditional medicine in asian countries . 
 however , the taxonomy of ganoderma species remains controversial , since they were initially classified on the basis of their morphological characteristics . 
 recently , it was proposed that g. lucidum from china be renamed as g. sichuanense or g. lingzhi . in the present study , 
 phylogenetic analysis using the internal transcribed spacer region rdna sequences of the ganoderma species indicated that all strains of the korean ' g. lucidum ' clustered into one group together with g. sichuanense and g. lingzhi from china . 
 however , strains from europe and north american , which were regarded as true g. lucidum , were positioned in a clearly different group . in addition , the average size of the basidiospores from the korean cultivated yeongji strains was similar to that of g. lingzhi . based on these results , 
 we propose that the korean cultivated yeongji strains of ' g. lucidum ' should be renamed as g. lingzhi . ","The paper propose that the korean cultivated yeongji strains of ""g.lucidum"", that has a long history of use a s atraditional medicine in asian countries,  should be renamed as g. lingzhi",Argumentative
"backgroundthe optimal geographic configuration of health care systems is key to maximizing accessibility while promoting the efficient use of resources . 
 this article reports the use of a novel approach to inform the optimal configuration of a national trauma system.methodsthis is a prospective cohort study of all trauma patients , 15 years and older , attended to by the scottish ambulance service , between july 1 , 2013 , and june 30 , 2014 . 
 patients underwent notional triage to one of three levels of care ( major trauma center [ mtc ] , trauma unit , or local emergency hospital ) . 
 we used geographic information systems software to calculate access times , by road and air , from all incident locations to all candidate hospitals . 
 we then modeled the performance of all mathematically possible network configurations and used multiobjective optimization to determine geospatially optimized configurations.resultsa total of 80,391 casualties were included . 
 a network with only high- or moderate - volume mtcs ( admitting at least 650 or 400 severely injured patients per year , respectively ) would be optimally configured with a single mtc . 
 a network accepting lower - volume mtcs ( at least 240 severely injured patients per year ) would be optimally configured with two mtcs . 
 both configurations would necessitate an increase in the number of helicopter retrievals.conclusionthis study has shown that a novel combination of notional triage , network analysis , and mathematical optimization can be used to inform the planning of a national clinical network . 
 scotland s trauma system could be optimized with one or two mtcs.level of evidencecare management study , level iv .",The paper reports the use of a novel approach to inform the optimal configuration of a national trauma system. ,Analytical
"introduction : peritonitis is one of the most common problems in general surgery practice with high mortality rate 
 . one of the reasons for high mortality is that peritonitis affects the general condition and leads to complications causing multiple organ failure , renal failure , sepsis , and postoperative ventilatory support . 
 early prognostic evaluation of patients with peritonitis is desirable to select high - risk patients for intensive management and also to provide a reliable objective classification of severity and operative risk.patients and methods : fifty cases with diagnosis of peritonitis coming to government medical college , amritsar , were studied . 
 stratification of these patients was done according to mannheim peritonitis index ( mpi ) , and their outcome was examined.results:mortality steadily increases with increase in mpi score . for patients with a score < 21 , 
 the mortality rate was 0% ; for score 2127 , it was 27.28% ; and for score > 27 , it was 100% ( p 
 < 0.001 ) . 
 for patients with a score < 21 , the morbidity rate was 13.33% ; for score 21 - 27 , it was 65.71% ; and for score > 27 , it was 100% ( p < 0.001 ) . 
 duration of pain > 24 h , organ failure on admission , female sex , and feculent exudate were found to be independently significant factors in predicting the mortality among the study population . for a score of 27 , 
 the sensitivity was 66.67% , specificity was 100% , and positive predictive value for mortality is 100% at an accuracy of 94%.conclusion : this study proves that mpi scoring system is a simple and effective tool for assessing the morbidity and mortality in patients with peritonitis .",The paper propose that mannheim peritonitis index system is a simple and effective tool for assesing the morbidity and mortality in parients with peritonitis.,Analytical
" pre - emptive living donor transplantation should always be promoted as the first - line treatment for kidney failure . 
 where that is not possible , patients must receive timely information and advice regarding all dialysis options available , including home - based peritoneal dialysis and haemodialysis . where a dialysis unit enables and actively encourages self - management , patients will tend to select themselves , and if well motivated may overcome significant difficulties to exceed the expectations or predictions of dialysis staff . 
 patients then become advocates themselves and can provide other patients with the necessary motivation to consider a home treatment , such that they approach staff , rather than vice versa . for staff to be able to talk to patients with confidence requires direct experience of home dialysis , but in units which do not have a full range of home therapies , this may initially be difficult . 
 visiting patients in their home environment is an essential part of training for both medical and nursing staff . before a patient is able to begin to engage in discussion about any dialysis therapy 
 , they must have reached a point of acceptance that dialysis is necessary . 
 if they are not at this point , then any attempt at  education will be largely futile . 
 once a patient has arrived at the point of choosing a home therapy , the pathway to their first dialysis at home must be as smooth and problem - free as possible . ",The paper argue that pre-emptibe living donor transplantation should always s be promoted as the first-line treatment for kidney failure.,Argumentative
"background : the diagnosis of pott 's disease is mostly based on clinicoradiological observations substantiated by the bacterial culture , staining and histopathology . since , no single technique is enough to conclude pott 's disease in diagnosis , the present study was undertaken to correlate the clinicoradiological , microbiological , histopathological and molecular method to evaluate the effectiveness in diagnosis of pott 's disease.materials and methods:62 clinicoradiologically suspected cases of pott 's disease 
 were included in this study . 
 the specimens for diagnostic work up were collected either during surgery or by computed tomography guided fine needle aspiration . 
 all these specimens were tested for tuberculosis ( tb ) through ziehl - neelsen ( zn ) microscopy , bactec culture , histopathology and polymerase chain reaction ( pcr ) . 
 the final diagnosis was established by the results of performed tests and clinicoradiological improvement of cases at the end of 6 months on anti tubercular treatment.results:out of 62 cases , 7 were excluded from this study as these were turned out to be neoplastic lesions on histopathology . amongst remaining 55 cases , 
 the tb was diagnosed in 39 ( 71% ) on histopathology , 37 ( 67.5% ) on pcr , 27 ( 49% ) on bactec culture and 20 ( 36.3% ) on zn microscopy . 
 ultimately 45 cases were tested as positive and 10 were detected as negative for tb in combination of zn microscopy , bactec culture and histopathology . 
 pcr was positive in 37 of 45 cases and 10/55 cases remained negative . on clinical analysis of these 10 cases , it was noted that these were cases of relapse / poor compliance . 
 the combination of pcr and histopathology was also shown positive for tb in 45 cases . 
 hence , the pcr showed a fair positive agreement ( c = 0.63 ) against the combined results of all performed traditional methods.conclusions:the combination of pcr and histopathology is a rapid and efficient tool for diagnosis of pott 's disease .",the paper argues that the combination of PCR and histopathology is a rapid and efficient tool for diagnosis of pott's disease,Methodological
"introductiondirect current cardioversion ( dccv ) is considered as the most effective treatment for atrial fibrillation ( af ) . 
 af is associated with an increased risk of thromboembolism , and dccv may increase this risk . 
 the current recommendation is , therefore , to anticoagulate for at least 3  weeks before dccv and 4  weeks after the procedure.methodsa retrospective study of patients referred for elective dccv as treatment for af in hampshire hospitals nhs foundation trust was performed to compare the safety and efficacy of dabigatran with warfarin in this setting.resultsduring a 12-month period , 129 patients were referred for dccv for the treatment of af and 107 patients received dccv . 
 fifty - four patients were anticoagulated with dabigatran , 42 patients with warfarin , and 11 patients with other direct oral anticoagulants ( doacs ) with choice of agent determined following an informed discussion with the patient . 
 the average number of days between the date of referral for dccv and the date of dccv for patients who were on dabigatran was 51  days , while for warfarin , this was 82 ( p  =  0.001 ) . 
 the proportion of cancelation and rescheduling for warfarin patients was 21.4% , while for dabigatran , this was 5.5% . 
 patients were reviewed 620  weeks after dccv ; the success rate of dccv for dabigatran patients was 61% , whilst for warfarin patients , this was 52% . 
 the success rate went up to 69% for patients who received dccv within 45  days of referral ( p  =  0.165).conclusionthis retrospective study supports clinical experience that dccv is more likely to be successful when there is a shorter duration between the onset of af and the date of dccv , and shows that the use of dabigatran in comparison with warfarin facilitates earlier dccv .","The paper suggetst s that direct current cardioversion (docv) is more likely to be sucessful when there is a shorter duration between the onset of atrial fibrillation and the date of docv, and shows that the use of dabigatran in comparison with warfarin facilitates earlier docv.",Analytical
"background : abnormal lipid homeostasis has been reported in sickle cell anaemia ( sca ) as well as in other haematological disorders 
 . however , there is little information on the lipid profile of sca subjects in vaso - occlusive crisis ( voc ) . 
 this study determined the lipid profile of adult sca subjects in voc and in steady state ( ssca).materials and methods : fifty - eight ( 58 ) adults with hbss ( 30 in steady state and 28 in vaso - occlusive crisis ) and 24 age - matched healthy individuals with hbaa genotype were recruited into this study . 
 standard methods were used for the determination of blood pressure ( bp ) , packed cell volume ( pcv ) , total white blood cell count ( wbc ) and haemoglobin phenotype . 
 after an overnight fast , 5 ml of venous blood was obtained from each ssca and the controls while samples were collected upon admission in the voc group . 
 plasma lipid profile was determined using enzymatic method . 
 differences between two groups were determined using independent student 's t - test or man - whitney u as appropriate . 
 p - values less than 0.05 were considered significant.results:plasma total cholesterol ( tc ) and high density lipoprotein ( hdl ) were significantly lower while the ratio of triglyceride ( tg ) to hdl ( tg / hdl ) was significantly higher in ssca compared with the controls . 
 low density lipoprotein ( ldl ) and tc were significantly lower in sca subjects in voc compared with controls . 
 however , tc , tg , ldl and tg / hdl were significantly lower while hdl was significantly higher in voc compared with ssca.conclusion:sickle cell anaemia subjects have defective fasting lipid metabolism which becomes pronounced with voc .",The paper determined the lipid profile of adult sickle cell anaemia subjects in vaso-occlusibe crisis  (voc) and in steady state. I is concluded that sickle cell anaemia subjects have defective fasting lipid metabolism which becomes pronounced with voc.,Ahnalytical
